indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.499,0.195,0.068,0.115,0.206,0.028,0.023,51.311,-0.074
0.501,0.026,0.165,0.246,0.161,0.042,0.039,52.692,-1.942
0.511,0.33,0.138,0.193,0.195,0.086,0.048,51.654,-0.159
0.52,0.538,0.122,0.088,0.207,0.066,0.048,51.502,-0.594
0.496,0.592,0.147,0.08,0.231,0.088,0.063,51.462,-0.366
0.503,0.521,0.13,0.127,0.187,0.095,0.077,51.394,-0.197
0.512,0.028,0.165,0.252,0.166,0.059,0.034,53.514,-1.564
0.52,0.074,0.155,0.19,0.188,0.074,0.027,53.751,-1.603
0.531,0.027,0.237,0.23,0.208,0.075,0.04,51.821,-2.534
0.487,0.845,0.235,0.085,0.246,0.192,0.11,53.814,-1.521
0.511,0.504,0.218,0.14,0.252,0.142,0.047,52.512,-2.092
0.521,0.107,0.225,0.185,0.158,0.118,0.055,53.443,-2.877
0.524,0.03,0.261,0.407,0.102,0.104,0.028,50.442,-3.563
0.542,0.032,0.155,0.387,0.129,0.057,0.029,51.116,-0.448
0.522,0.425,0.107,0.07,0.117,0.068,0.154,51.493,-0.089
0.489,0.303,0.156,0.115,0.139,0.106,0.073,51.546,-0.111
0.476,0.344,0.137,0.104,0.172,0.088,0.119,53.815,-1.597
0.521,0.042,0.185,0.215,0.151,0.047,0.032,52.991,-0.035
0.513,0.015,0.182,0.277,0.156,0.043,0.029,53.148,-1.394
0.52,0.016,0.189,0.31,0.145,0.075,0.045,53.429,-1.271
0.481,0.42,0.103,0.069,0.115,0.069,0.073,51.478,-0.131
0.51,0.099,0.12,0.24,0.189,0.038,0.035,51.91,0.932
0.495,0.341,0.057,0.048,0.124,0.035,0.061,51.483,-0.02
0.517,0.013,0.216,0.29,0.127,0.105,0.021,54.866,-1.795
0.504,0.729,0.139,0.133,0.199,0.092,0.08,51.557,-0.367
0.522,0.225,0.056,0.181,0.212,0.045,0.056,51.42,-0.303
0.512,0.088,0.139,0.152,0.204,0.064,0.053,50.802,-1.055
0.519,0.143,0.087,0.24,0.182,0.056,0.063,51.484,-2.633
0.513,0.049,0.258,0.089,0.332,0.135,0.074,53.79,-0.387
0.517,0.426,0.138,0.221,0.173,0.053,0.05,51.367,-0.127
0.503,0.031,0.149,0.202,0.191,0.054,0.035,52.907,-2.497
0.514,0.437,0.082,0.099,0.104,0.077,0.26,51.522,-0.099
0.493,0.024,0.132,0.237,0.156,0.041,0.03,52.743,-1.356
0.518,0.09,0.13,0.284,0.141,0.044,0.043,53.336,-1.488
0.48,0.675,0.172,0.08,0.167,0.162,0.098,51.52,-0.066
0.506,0.028,0.15,0.301,0.143,0.059,0.045,51.796,-3.97
0.505,0.017,0.085,0.346,0.13,0.032,0.044,53.247,-1.922
0.49,0.427,0.163,0.127,0.233,0.081,0.059,51.641,-0.764
0.499,0.18,0.111,0.099,0.212,0.029,0.055,52.222,-0.911
0.53,0.228,0.192,0.121,0.261,0.088,0.067,52.255,-0.806
0.471,0.294,0.192,0.15,0.166,0.101,0.038,51.247,-0.775
0.501,0.076,0.059,0.125,0.19,0.022,0.047,51.234,-1.137
0.501,0.146,0.116,0.206,0.125,0.054,0.026,51.981,-0.234
0.532,0.204,0.208,0.096,0.25,0.076,0.042,53.821,-1.475
0.518,0.055,0.196,0.199,0.223,0.094,0.059,51.704,-4.153
0.498,0.202,0.138,0.288,0.162,0.045,0.031,52.248,-0.843
0.524,0.121,0.151,0.147,0.194,0.075,0.034,53.511,-2.313
0.507,0.595,0.067,0.037,0.041,0.039,0.568,52.627,-1.128
